29,0,Paral·lel sentit Pl. Espanya
29,163,Paral.lel (Entença a Pl. Espanya)
29,165,Paral.lel (Calàbria a Entença)
29,167,Paral.lel (Ronda de Sant Pau a Calàbria)
29,169,Paral.lel (Josep Carner a Ronda de Sant Pau)
30,0,Paral·lel sentit Josep Carner
30,162,Paral.lel (Pl. Espanya a Entença)
30,164,Paral.lel (Entença a Calàbria)
30,166,Paral.lel (Calàbria a Ronda de Sant Pau)
30,168,Paral.lel (Ronda de Sant Pau a Josep Carner)
31,0,Pau Claris de Còrsega a Pl. Urquinaona
31,180,Pau Claris (Còrsega a Mallorca)
31,181,Pau Claris (Mallorca a Aragó)
31,182,Pau Claris (Aragó a Gran Via)
31,183,Pau Claris (Gran Via a Pl. Urquinaona)
32,0,Via Laietana de Pl. Urquinaona a Pl. Antonio López
32,184,Via Laietana (Pl. Uruiqnaona a Jaume I)
32,186,Via Laietana (Jaume I a Pl. Antonio López)
33,0,Via Laietana de Pl. Antonio López a Pl. Urquinaona
33,185,Via Laietana (Jaume I a Pl. Urquinaona)
33,187,Via Laietana (Pl. Antonio López a Jaume I)
34,0,Roger de Llúria de Pl. Urquinaona a Diagonal
34,188,Roger de Llúria (Pl. Urquinaona a Aragó)
34,189,Roger de Llúria (Aragó a Diagonal)
35,0,Urgell de Paral·lel a Gran Via
35,171,Ronda de Sant Pau (Paral.lel a Ronda de Sant Antoni)
35,172,Urgell (Ronda de Sant Pau a Gran Via)
36,0,Urgell de Gran Via a Paris
36,117,Urgell (Gran Via a Aragó)
36,118,Urgell (Aragó a Av. Sarrià)
37,0,Av. Sarrià de Paris a Pl. Prat de la Riba
37,54,Av. Sarrià (Diagonal a Pl. Prat de la Riba)
37,119,Av. Sarrià (Urgell a Diagonal)
38,0,Numància de Diagonal a Pl. Països Catalans
38,107,Numància (Diagonal a Travessera de les Corts)
38,108,Numància (Travessera de les Corts a Berlin)
38,109,Numància (Berlin a Pl. Països Catalans)
39,0,Tarragona de Pl. Països Catalans a Pl. Espanya
39,110,Tarragona (Pl. Països Catalans a Aragó)
39,111,Tarragona (Aragó a Pl.Espanya)
40,0,Ronda del Mig de Ronda Litoral a Pl. Cerdà
40,148,Passeig de la Zona Franca (Foc a Pl. Cerdà)
40,150,Passeig de la Zona Franca (Ronda del Litoral a Foc)
41,0,Ronda del Mig de Pl. Cerdà a Via Augusta
41,45,Mitre (Pl. Prat de la Riba a Via Augusta)
41,47,Carles III (Pl. Maria Cristina a Pl. Prat de la Riba)
41,49,Carles III (Travessera de les Corts a Pl. Maria Cristina)
41,51,Carles III (Carrer de Sants a Travessera de les Corts)
41,53,Carles III (Pl. Cerdà a Carrer de Sants)
42,0,Ronda del Mig de Via Augusta a Pl. Lesseps
42,97,Mitre (Via Augusta a Balmes)
42,99,Mitre (Balmes a Pl. Lesseps)
43,0,Ronda del Mig de Pl. Lesseps a Túnel de la Rovira
43,233,Travessera de Dalt (Pl. Lesseps a Escorial)
43,235,Ronda Guinardó (Escorial a Túnel de la Rovira)
44,0,Ronda del Mig de Túnel de la Rovira a Passeig Maragall
44,237,Ronda Guinardó (Túnel de la Rovira a Oblit)
44,427,Ronda Guinardó (Oblit a Passeig de Maragall)
45,0,Ronda del Mig de Passeig Maragall a Meridiana
45,308,Ramon Albó (Passeig Maragall a Escòcia)
45,309,Arnau d'Oms (Escòcia a Fabra i Puig)
45,428,Av. Rio de Janeiro (Fabra i Puig a Passeig de Valldaura)
45,429,Av. Rio de Janeiro (Passeig de Valldaura a Meridiana)
46,0,Ronda del Mig de Túnel de la Rovira a Pl. Lesseps
46,234,Travessera de Dalt (Escorial a Pl. Lesseps)
46,236,Ronda Guinardó (Túnel de la Rovira a Escorial)
47,0,Ronda del Mig de Pl. Lesseps a Via Augusta
47,98,Mitre (Balmes a Via Augusta)
47,100,Mitre (Pl. Lesseps a Balmes)
48,0,Ronda del Mig de Via Augusta a Pl. Cerdà
48,44,Mitre (Via Augusta a Pl. Prat de la Riba)
